,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,14.49,0.0,0.0,0.0,0.0,64.76,0.0,65.69,0.0,0.0,1,8999
1,1.0,1.0,14.52,0.0,0.0,0.0,0.0,64.88,0.0,65.84,0.0,0.0,2,17999
2,2.0,2.0,14.53,0.0,0.0,0.0,0.0,64.9,0.0,65.88,0.0,0.0,2,19999
3,3.0,3.0,14.51,0.0,0.0,0.0,0.0,64.84,0.0,65.79,0.0,0.0,1,14999
4,4.0,4.0,14.5,0.0,0.0,0.0,0.0,64.77,0.0,65.71,0.0,0.0,1,9999
5,5.0,5.0,14.47,0.0,0.0,0.0,0.0,64.6,0.0,65.63,0.0,0.0,0,3999
6,6.0,6.0,14.47,0.0,0.0,0.0,0.0,64.56,0.0,65.64,0.0,0.0,0,2999
7,7.0,7.0,14.52,0.0,0.0,0.0,0.0,64.87,0.0,65.82,0.0,0.0,2,16999
8,8.0,8.0,14.49,0.0,0.0,0.0,0.0,64.74,0.0,65.67,0.0,0.0,1,7999
9,9.0,9.0,14.53,0.0,0.0,0.0,0.0,64.9,0.0,65.9,0.0,0.0,2,21999
10,10.0,10.0,14.51,0.0,0.0,0.0,0.0,64.83,0.0,65.78,0.0,0.0,1,13999
11,11.0,11.0,14.5,0.0,0.0,0.0,0.0,64.8,0.0,65.73,0.0,0.0,1,10999
12,12.0,12.0,14.47,0.0,0.0,0.0,0.0,64.64,0.0,65.63,0.0,0.0,0,4999
13,13.0,13.0,14.52,0.0,0.0,0.0,0.0,64.84,0.0,65.8,0.0,0.0,2,15999
14,14.0,14.0,14.48,0.0,0.0,0.0,0.0,64.67,0.0,65.64,0.0,0.0,0,5999
15,15.0,15.0,14.53,0.0,0.0,0.0,0.0,64.9,0.0,65.89,0.0,0.0,2,20999
16,16.0,16.0,14.49,0.0,0.0,0.0,0.0,64.73,0.0,65.65,0.0,0.0,0,6999
17,17.0,17.0,14.51,0.0,0.0,0.0,0.0,64.82,0.0,65.76,0.0,0.0,1,12999
18,18.0,18.0,14.46,0.0,0.0,0.0,0.0,64.48,0.0,65.68,0.0,0.0,0,1999
19,19.0,19.0,14.47,0.0,0.0,0.0,0.0,64.36,0.0,65.86,0.0,0.0,0,999
20,20.0,20.0,14.53,0.0,0.0,0.0,0.0,64.88,0.0,65.86,0.0,0.0,2,18999
21,21.0,21.0,14.51,0.0,0.0,0.0,0.0,64.82,0.0,65.75,0.0,0.0,1,11999
22,22.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.14,0.0,0.0,7,59999
23,23.0,,14.55,0.0,0.0,0.0,0.0,64.91,0.0,66.02,0.0,0.0,3,29999
24,24.0,,14.57,0.0,0.0,0.0,0.0,64.97,0.0,66.12,0.0,0.0,5,41999
25,25.0,,14.55,0.0,0.0,0.0,0.0,64.94,0.0,66.05,0.0,0.0,4,32999
26,26.0,,14.56,0.0,0.0,0.0,0.0,64.95,0.0,66.09,0.0,0.0,4,36999
