,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,9.96,0.00,0.00,0.00,0.00,65.85,0.00,0.00,0.00,0.00,0.00,0.00,73.65,0.00,0.00,0,3999
1,10.11,0.00,0.00,0.00,0.00,66.50,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0,11999
2,10.06,0.00,0.00,0.00,0.00,66.54,0.00,0.00,0.00,0.00,0.00,0.00,74.29,0.00,0.00,0,7999
