,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,0.0,0.0,15.58,0.0,0.0,0.0,0.0,66.29,0.0,73.94,0.0,0.0,0,3999
1,1.0,1.0,1.0,,15.7,0.0,0.0,0.0,0.0,66.63,0.0,74.68,0.0,0.0,0,7999
2,2.0,2.0,2.0,,15.85,0.0,0.0,0.0,0.0,67.56,0.0,75.1,0.0,0.0,0,11999
3,3.0,3.0,,,15.94,0.0,0.0,0.0,0.0,68.17,0.0,75.32,0.0,0.0,0,15999
4,4.0,4.0,,,15.93,0.0,0.0,0.0,0.0,67.69,0.0,75.64,0.0,0.0,1,19999
5,5.0,5.0,,,15.95,0.0,0.0,0.0,0.0,67.96,0.0,75.61,0.0,0.0,1,23999
6,6.0,6.0,,,15.93,0.0,0.0,0.0,0.0,67.67,0.0,75.7,0.0,0.0,1,27999
7,7.0,,,,16.0,0.0,0.0,0.0,0.0,68.18,0.0,75.84,0.0,0.0,1,31999
8,8.0,,,,16.02,0.0,0.0,0.0,0.0,68.37,0.0,75.78,0.0,0.0,2,35999
9,9.0,,,,15.99,0.0,0.0,0.0,0.0,68.02,0.0,75.86,0.0,0.0,2,39999
10,10.0,,,,15.98,0.0,0.0,0.0,0.0,67.93,0.0,75.89,0.0,0.0,2,43999
11,11.0,,,,16.01,0.0,0.0,0.0,0.0,68.27,0.0,75.83,0.0,0.0,2,47999
12,12.0,,,,15.97,0.0,0.0,0.0,0.0,67.81,0.0,75.88,0.0,0.0,2,51999
13,13.0,,,,16.03,0.0,0.0,0.0,0.0,68.23,0.0,76.02,0.0,0.0,3,55999
14,14.0,,,,16.01,0.0,0.0,0.0,0.0,68.31,0.0,75.82,0.0,0.0,3,59999
15,,,,,15.97,0.00,0.00,0.00,0.00,67.79,0.00,75.97,0.00,0.00,3,63999
16,,,,,15.98,0.00,0.00,0.00,0.00,67.93,0.00,75.86,0.00,0.00,3,67999
17,,,,,15.98,0.00,0.00,0.00,0.00,67.87,0.00,75.94,0.00,0.00,4,71999
18,,,,,15.97,0.00,0.00,0.00,0.00,68.07,0.00,75.68,0.00,0.00,4,75999
19,,,,,15.96,0.00,0.00,0.00,0.00,67.90,0.00,75.72,0.00,0.00,4,79999
20,,,,,15.90,0.00,0.00,0.00,0.00,67.40,0.00,75.71,0.00,0.00,4,83999
