,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,9.08,0.00,0.00,0.00,0.00,63.06,0.00,0.00,0.00,0.00,0.00,0.00,64.12,0.00,0.00,0,3999
1,9.12,0.00,0.00,0.00,0.00,62.96,0.00,0.00,0.00,0.00,0.00,0.00,64.65,0.00,0.00,0,5999
2,9.03,0.00,0.00,0.00,0.00,62.46,0.00,0.00,0.00,0.00,0.00,0.00,63.92,0.00,0.00,0,1999
