,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,73.72,0.0,0.0,0,3999
1,1.0,1.0,10.17,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,75.62,0.0,0.0,0,91999
2,2.0,2.0,10.13,0.0,0.0,0.0,0.0,66.29,0.0,0.0,0.0,0.0,0.0,0.0,75.48,0.0,0.0,0,67999
3,3.0,3.0,10.14,0.0,0.0,0.0,0.0,66.33,0.0,0.0,0.0,0.0,0.0,0.0,75.69,0.0,0.0,0,47999
4,4.0,4.0,10.17,0.0,0.0,0.0,0.0,66.59,0.0,0.0,0.0,0.0,0.0,0.0,75.83,0.0,0.0,0,87999
5,5.0,5.0,10.21,0.0,0.0,0.0,0.0,67.05,0.0,0.0,0.0,0.0,0.0,0.0,75.85,0.0,0.0,0,95999
6,6.0,6.0,10.2,0.0,0.0,0.0,0.0,67.25,0.0,0.0,0.0,0.0,0.0,0.0,75.61,0.0,0.0,0,99999
7,7.0,7.0,10.14,0.0,0.0,0.0,0.0,66.44,0.0,0.0,0.0,0.0,0.0,0.0,75.57,0.0,0.0,0,59999
8,8.0,8.0,10.04,0.0,0.0,0.0,0.0,65.91,0.0,0.0,0.0,0.0,0.0,0.0,74.67,0.0,0.0,0,11999
9,9.0,9.0,10.11,0.0,0.0,0.0,0.0,65.96,0.0,0.0,0.0,0.0,0.0,0.0,75.58,0.0,0.0,0,39999
10,10.0,10.0,10.11,0.0,0.0,0.0,0.0,66.71,0.0,0.0,0.0,0.0,0.0,0.0,74.76,0.0,0.0,0,15999
11,11.0,11.0,10.08,0.0,0.0,0.0,0.0,65.43,0.0,0.0,0.0,0.0,0.0,0.0,75.73,0.0,0.0,0,51999
12,12.0,12.0,10.13,0.0,0.0,0.0,0.0,66.37,0.0,0.0,0.0,0.0,0.0,0.0,75.52,0.0,0.0,0,43999
13,13.0,13.0,10.18,0.0,0.0,0.0,0.0,66.85,0.0,0.0,0.0,0.0,0.0,0.0,75.67,0.0,0.0,0,103999
14,14.0,14.0,10.13,0.0,0.0,0.0,0.0,66.34,0.0,0.0,0.0,0.0,0.0,0.0,75.55,0.0,0.0,0,31999
15,15.0,15.0,10.12,0.0,0.0,0.0,0.0,66.58,0.0,0.0,0.0,0.0,0.0,0.0,75.11,0.0,0.0,0,19999
16,16.0,16.0,10.17,0.0,0.0,0.0,0.0,66.51,0.0,0.0,0.0,0.0,0.0,0.0,75.87,0.0,0.0,0,55999
17,17.0,17.0,10.19,0.0,0.0,0.0,0.0,66.94,0.0,0.0,0.0,0.0,0.0,0.0,75.7,0.0,0.0,0,79999
18,18.0,18.0,10.12,0.0,0.0,0.0,0.0,66.32,0.0,0.0,0.0,0.0,0.0,0.0,75.33,0.0,0.0,0,35999
19,19.0,19.0,10.1,0.0,0.0,0.0,0.0,66.87,0.0,0.0,0.0,0.0,0.0,0.0,74.51,0.0,0.0,0,7999
20,20.0,20.0,10.12,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,75.67,0.0,0.0,0,83999
21,21.0,21.0,10.13,0.0,0.0,0.0,0.0,66.58,0.0,0.0,0.0,0.0,0.0,0.0,75.21,0.0,0.0,0,27999
22,22.0,22.0,10.19,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,75.93,0.0,0.0,0,71999
23,23.0,23.0,10.17,0.0,0.0,0.0,0.0,66.52,0.0,0.0,0.0,0.0,0.0,0.0,75.79,0.0,0.0,0,63999
24,24.0,24.0,10.13,0.0,0.0,0.0,0.0,66.54,0.0,0.0,0.0,0.0,0.0,0.0,75.22,0.0,0.0,0,23999
25,25.0,25.0,10.2,0.0,0.0,0.0,0.0,67.05,0.0,0.0,0.0,0.0,0.0,0.0,75.81,0.0,0.0,0,75999
26,26.0,,10.29,0.0,0.0,0.0,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,75.99,0.0,0.0,0,223999
27,27.0,,10.24,0.0,0.0,0.0,0.0,67.54,0.0,0.0,0.0,0.0,0.0,0.0,75.84,0.0,0.0,0,207999
28,28.0,,10.26,0.0,0.0,0.0,0.0,67.85,0.0,0.0,0.0,0.0,0.0,0.0,75.83,0.0,0.0,0,115999
29,29.0,,10.25,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,76.03,0.0,0.0,0,295999
30,30.0,,10.27,0.0,0.0,0.0,0.0,67.87,0.0,0.0,0.0,0.0,0.0,0.0,75.85,0.0,0.0,0,151999
31,31.0,,10.26,0.0,0.0,0.0,0.0,67.58,0.0,0.0,0.0,0.0,0.0,0.0,76.04,0.0,0.0,0,143999
32,32.0,,10.26,0.0,0.0,0.0,0.0,67.79,0.0,0.0,0.0,0.0,0.0,0.0,75.86,0.0,0.0,0,271999
33,33.0,,10.23,0.0,0.0,0.0,0.0,67.44,0.0,0.0,0.0,0.0,0.0,0.0,75.73,0.0,0.0,0,127999
34,34.0,,10.3,0.0,0.0,0.0,0.0,68.26,0.0,0.0,0.0,0.0,0.0,0.0,75.94,0.0,0.0,0,279999
35,35.0,,10.26,0.0,0.0,0.0,0.0,67.96,0.0,0.0,0.0,0.0,0.0,0.0,75.75,0.0,0.0,0,231999
36,36.0,,10.27,0.0,0.0,0.0,0.0,67.89,0.0,0.0,0.0,0.0,0.0,0.0,75.86,0.0,0.0,0,287999
37,37.0,,10.32,0.0,0.0,0.0,0.0,68.56,0.0,0.0,0.0,0.0,0.0,0.0,75.86,0.0,0.0,0,263999
38,38.0,,10.28,0.0,0.0,0.0,0.0,68.17,0.0,0.0,0.0,0.0,0.0,0.0,75.81,0.0,0.0,0,179999
