,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,3.92,0.00,0.00,0.00,0.00,27.33,0.00,7.97,0.00,0.00,0,58999
1,4.74,0.00,0.00,0.00,0.00,30.71,0.00,11.98,0.00,0.00,0,15499
2,4.43,0.00,0.00,0.00,0.00,31.08,0.00,8.82,0.00,0.00,0,18999
3,3.96,0.00,0.00,0.00,0.00,28.83,0.00,6.85,0.00,0.00,0,49999
4,5.50,0.00,0.00,0.00,0.00,26.31,0.00,23.15,0.00,0.00,0,3999
5,4.21,0.00,0.00,0.00,0.00,30.81,0.00,7.11,0.00,0.00,0,40499
6,5.06,0.00,0.00,0.00,0.00,25.83,0.00,19.72,0.00,0.00,0,9499
7,4.10,0.00,0.00,0.00,0.00,28.78,0.00,8.10,0.00,0.00,0,89999
8,4.17,0.00,0.00,0.00,0.00,29.19,0.00,8.36,0.00,0.00,0,25499
9,3.98,0.00,0.00,0.00,0.00,27.89,0.00,7.89,0.00,0.00,0,55499
10,5.84,0.00,0.00,0.00,0.00,28.15,0.00,24.43,0.00,0.00,0,2999
11,5.30,0.00,0.00,0.00,0.00,25.49,0.00,22.24,0.00,0.00,0,5499
12,3.97,0.00,0.00,0.00,0.00,29.03,0.00,6.74,0.00,0.00,0,48999
13,3.97,0.00,0.00,0.00,0.00,27.18,0.00,8.51,0.00,0.00,0,68499
14,4.15,0.00,0.00,0.00,0.00,28.33,0.00,9.04,0.00,0.00,0,66999
15,4.01,0.00,0.00,0.00,0.00,28.30,0.00,7.83,0.00,0.00,0,90499
16,3.91,0.00,0.00,0.00,0.00,28.96,0.00,6.25,0.00,0.00,0,45999
17,4.00,0.00,0.00,0.00,0.00,28.47,0.00,7.57,0.00,0.00,0,27499
18,4.05,0.00,0.00,0.00,0.00,29.70,0.00,6.75,0.00,0.00,0,30499
19,4.04,0.00,0.00,0.00,0.00,29.58,0.00,6.79,0.00,0.00,0,42999
20,3.98,0.00,0.00,0.00,0.00,27.53,0.00,8.32,0.00,0.00,0,74999
21,3.92,0.00,0.00,0.00,0.00,27.51,0.00,7.79,0.00,0.00,0,54999
22,3.99,0.00,0.00,0.00,0.00,27.95,0.00,7.94,0.00,0.00,0,90999
23,4.13,0.00,0.00,0.00,0.00,28.57,0.00,8.61,0.00,0.00,0,75499
24,4.07,0.00,0.00,0.00,0.00,28.29,0.00,8.34,0.00,0.00,0,84499
25,4.06,0.00,0.00,0.00,0.00,28.15,0.00,8.40,0.00,0.00,0,79499
26,4.06,0.00,0.00,0.00,0.00,27.96,0.00,8.56,0.00,0.00,0,67999
27,4.24,0.00,0.00,0.00,0.00,31.14,0.00,7.04,0.00,0.00,0,32999
28,3.94,0.00,0.00,0.00,0.00,28.10,0.00,7.38,0.00,0.00,0,51499
29,3.95,0.00,0.00,0.00,0.00,29.29,0.00,6.24,0.00,0.00,0,43499
30,3.98,0.00,0.00,0.00,0.00,27.81,0.00,8.00,0.00,0.00,0,88999
31,4.38,0.00,0.00,0.00,0.00,31.59,0.00,7.85,0.00,0.00,0,33999
32,4.30,0.00,0.00,0.00,0.00,30.63,0.00,8.05,0.00,0.00,0,23499
33,5.09,0.00,0.00,0.00,0.00,25.69,0.00,20.14,0.00,0.00,0,8999
34,3.88,0.00,0.00,0.00,0.00,27.53,0.00,7.43,0.00,0.00,0,54499
35,3.84,0.00,0.00,0.00,0.00,27.96,0.00,6.61,0.00,0.00,0,41499
36,3.97,0.00,0.00,0.00,0.00,29.14,0.00,6.63,0.00,0.00,0,47999
37,4.00,0.00,0.00,0.00,0.00,28.02,0.00,7.96,0.00,0.00,0,87999
38,4.05,0.00,0.00,0.00,0.00,28.21,0.00,8.20,0.00,0.00,0,81499
39,5.72,0.00,0.00,0.00,0.00,29.78,0.00,21.73,0.00,0.00,0,2499
40,4.07,0.00,0.00,0.00,0.00,28.19,0.00,8.45,0.00,0.00,0,76499
41,4.03,0.00,0.00,0.00,0.00,29.04,0.00,7.20,0.00,0.00,0,25999
42,4.35,0.00,0.00,0.00,0.00,30.59,0.00,8.53,0.00,0.00,0,22499
43,3.94,0.00,0.00,0.00,0.00,29.01,0.00,6.46,0.00,0.00,0,48499
44,4.12,0.00,0.00,0.00,0.00,30.64,0.00,6.43,0.00,0.00,0,34499
45,3.99,0.00,0.00,0.00,0.00,29.44,0.00,6.49,0.00,0.00,0,39499
46,4.58,0.00,0.00,0.00,0.00,31.58,0.00,9.64,0.00,0.00,0,19499
47,5.36,0.00,0.00,0.00,0.00,25.44,0.00,22.79,0.00,0.00,0,4499
48,3.98,0.00,0.00,0.00,0.00,27.49,0.00,8.34,0.00,0.00,0,73999
49,4.05,0.00,0.00,0.00,0.00,28.16,0.00,8.31,0.00,0.00,0,83499
