,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
137,5.16,0.00,0.00,0.00,0.00,28.93,0.00,17.53,0.00,0.00,0,18499
138,5.12,0.00,0.00,0.00,0.00,28.13,0.00,17.94,0.00,0.00,0,40999
139,5.43,0.00,0.00,0.00,0.00,30.20,0.00,18.70,0.00,0.00,0,68999
140,5.37,0.00,0.00,0.00,0.00,29.86,0.00,18.50,0.00,0.00,0,62499
141,5.30,0.00,0.00,0.00,0.00,29.22,0.00,18.51,0.00,0.00,0,45499
142,5.22,0.00,0.00,0.00,0.00,28.65,0.00,18.29,0.00,0.00,0,50499
143,4.62,0.00,0.00,0.00,0.00,19.49,0.00,22.10,0.00,0.00,0,1999
144,5.40,0.00,0.00,0.00,0.00,30.20,0.00,18.42,0.00,0.00,0,77499
145,5.12,0.00,0.00,0.00,0.00,21.20,0.00,24.85,0.00,0.00,0,999
146,5.38,0.00,0.00,0.00,0.00,29.84,0.00,18.57,0.00,0.00,0,69499
147,5.37,0.00,0.00,0.00,0.00,29.61,0.00,18.70,0.00,0.00,0,38999
148,5.27,0.00,0.00,0.00,0.00,29.09,0.00,18.36,0.00,0.00,0,46999
149,5.27,0.00,0.00,0.00,0.00,29.29,0.00,18.16,0.00,0.00,0,57999
150,5.26,0.00,0.00,0.00,0.00,29.21,0.00,18.15,0.00,0.00,0,27999
151,5.25,0.00,0.00,0.00,0.00,28.84,0.00,18.39,0.00,0.00,0,44999
152,5.49,0.00,0.00,0.00,0.00,30.67,0.00,18.78,0.00,0.00,0,85999
153,5.35,0.00,0.00,0.00,0.00,29.68,0.00,18.45,0.00,0.00,0,71999
154,5.31,0.00,0.00,0.00,0.00,29.41,0.00,18.34,0.00,0.00,0,65499
155,4.27,0.00,0.00,0.00,0.00,17.33,0.00,21.11,0.00,0.00,0,1499
156,4.95,0.00,0.00,0.00,0.00,26.75,0.00,17.77,0.00,0.00,0,10499
157,5.30,0.00,0.00,0.00,0.00,29.52,0.00,18.19,0.00,0.00,0,63999
158,5.34,0.00,0.00,0.00,0.00,29.74,0.00,18.28,0.00,0.00,0,57499
159,5.26,0.00,0.00,0.00,0.00,29.02,0.00,18.36,0.00,0.00,0,46499
160,5.28,0.00,0.00,0.00,0.00,28.97,0.00,18.53,0.00,0.00,0,44499
161,5.47,0.00,0.00,0.00,0.00,30.47,0.00,18.74,0.00,0.00,0,84999
162,5.40,0.00,0.00,0.00,0.00,30.14,0.00,18.46,0.00,0.00,0,78499
163,5.17,0.00,0.00,0.00,0.00,28.67,0.00,17.87,0.00,0.00,0,23999
164,5.28,0.00,0.00,0.00,0.00,29.22,0.00,18.30,0.00,0.00,0,71499
165,5.30,0.00,0.00,0.00,0.00,29.30,0.00,18.41,0.00,0.00,0,49499
166,5.34,0.00,0.00,0.00,0.00,29.70,0.00,18.34,0.00,0.00,0,64499
167,5.34,0.00,0.00,0.00,0.00,29.84,0.00,18.25,0.00,0.00,0,75999
168,5.09,0.00,0.00,0.00,0.00,28.19,0.00,17.61,0.00,0.00,0,20999
169,5.22,0.00,0.00,0.00,0.00,28.66,0.00,18.32,0.00,0.00,0,41999
170,5.50,0.00,0.00,0.00,0.00,30.70,0.00,18.77,0.00,0.00,0,80499
171,5.27,0.00,0.00,0.00,0.00,29.26,0.00,18.19,0.00,0.00,0,62999
172,5.37,0.00,0.00,0.00,0.00,29.81,0.00,18.48,0.00,0.00,0,60499
173,4.90,0.00,0.00,0.00,0.00,26.51,0.00,17.63,0.00,0.00,0,10999
174,5.47,0.00,0.00,0.00,0.00,30.45,0.00,18.79,0.00,0.00,0,82499
175,5.27,0.00,0.00,0.00,0.00,29.49,0.00,17.90,0.00,0.00,0,14999
176,5.22,0.00,0.00,0.00,0.00,28.76,0.00,18.26,0.00,0.00,0,37499
177,5.09,0.00,0.00,0.00,0.00,28.08,0.00,17.72,0.00,0.00,0,30999
178,5.58,0.00,0.00,0.00,0.00,31.26,0.00,18.95,0.00,0.00,0,89499
179,4.20,0.00,0.00,0.00,0.00,19.52,0.00,18.31,0.00,0.00,0,3499
180,5.14,0.00,0.00,0.00,0.00,28.40,0.00,17.85,0.00,0.00,0,29999
181,5.36,0.00,0.00,0.00,0.00,29.64,0.00,18.57,0.00,0.00,0,69999
