,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
46,46.0,46.0,,15.91,0.0,0.0,0.0,0.0,67.61,0.0,75.61,0.0,0.0,0,149999
47,47.0,47.0,,15.92,0.0,0.0,0.0,0.0,67.72,0.0,75.57,0.0,0.0,0,151999
48,48.0,48.0,,15.96,0.0,0.0,0.0,0.0,67.96,0.0,75.66,0.0,0.0,0,153999
49,49.0,49.0,,15.91,0.0,0.0,0.0,0.0,67.55,0.0,75.62,0.0,0.0,0,155999
50,50.0,50.0,,15.88,0.0,0.0,0.0,0.0,67.39,0.0,75.53,0.0,0.0,0,157999
51,51.0,51.0,,15.92,0.0,0.0,0.0,0.0,67.65,0.0,75.64,0.0,0.0,0,159999
52,52.0,52.0,,15.92,0.0,0.0,0.0,0.0,67.52,0.0,75.72,0.0,0.0,0,161999
53,53.0,53.0,,15.96,0.0,0.0,0.0,0.0,67.97,0.0,75.64,0.0,0.0,0,163999
54,54.0,54.0,,15.94,0.0,0.0,0.0,0.0,67.73,0.0,75.75,0.0,0.0,0,165999
55,55.0,55.0,,15.89,0.0,0.0,0.0,0.0,67.46,0.0,75.56,0.0,0.0,0,167999
56,56.0,,,15.91,0.0,0.0,0.0,0.0,67.6,0.0,75.57,0.0,0.0,0,171999
57,57.0,,,15.93,0.0,0.0,0.0,0.0,67.63,0.0,75.71,0.0,0.0,0,175999
58,58.0,,,15.93,0.0,0.0,0.0,0.0,67.68,0.0,75.68,0.0,0.0,0,179999
59,59.0,,,15.89,0.0,0.0,0.0,0.0,67.39,0.0,75.58,0.0,0.0,0,183999
60,60.0,,,15.9,0.0,0.0,0.0,0.0,67.56,0.0,75.52,0.0,0.0,0,187999
61,61.0,,,15.91,0.0,0.0,0.0,0.0,67.53,0.0,75.63,0.0,0.0,0,191999
62,62.0,,,15.98,0.0,0.0,0.0,0.0,67.99,0.0,75.82,0.0,0.0,0,195999
63,63.0,,,15.94,0.0,0.0,0.0,0.0,67.77,0.0,75.72,0.0,0.0,0,199999
64,64.0,,,15.92,0.0,0.0,0.0,0.0,67.48,0.0,75.79,0.0,0.0,0,203999
65,65.0,,,15.91,0.0,0.0,0.0,0.0,67.58,0.0,75.64,0.0,0.0,0,207999
66,66.0,,,15.92,0.0,0.0,0.0,0.0,67.67,0.0,75.57,0.0,0.0,0,211999
67,67.0,,,15.92,0.0,0.0,0.0,0.0,67.64,0.0,75.68,0.0,0.0,0,215999
68,68.0,,,15.93,0.0,0.0,0.0,0.0,67.53,0.0,75.83,0.0,0.0,0,219999
69,69.0,,,15.9,0.0,0.0,0.0,0.0,67.52,0.0,75.56,0.0,0.0,0,223999
70,,,,15.90,0.00,0.00,0.00,0.00,67.50,0.00,75.58,0.00,0.00,0,225999
71,,,,15.90,0.00,0.00,0.00,0.00,67.29,0.00,75.80,0.00,0.00,0,227999
72,,,,15.97,0.00,0.00,0.00,0.00,67.89,0.00,75.87,0.00,0.00,0,229999
73,,,,15.91,0.00,0.00,0.00,0.00,67.46,0.00,75.71,0.00,0.00,0,231999
74,,,,15.92,0.00,0.00,0.00,0.00,67.59,0.00,75.71,0.00,0.00,0,233999
75,,,,15.95,0.00,0.00,0.00,0.00,67.88,0.00,75.68,0.00,0.00,0,235999
76,,,,15.87,0.00,0.00,0.00,0.00,67.13,0.00,75.74,0.00,0.00,0,237999
77,,,,15.90,0.00,0.00,0.00,0.00,67.50,0.00,75.64,0.00,0.00,0,239999
78,,,,15.91,0.00,0.00,0.00,0.00,67.59,0.00,75.60,0.00,0.00,0,241999
79,,,,15.91,0.00,0.00,0.00,0.00,67.44,0.00,75.74,0.00,0.00,0,243999
80,,,,15.95,0.00,0.00,0.00,0.00,67.80,0.00,75.74,0.00,0.00,0,245999
81,,,,15.90,0.00,0.00,0.00,0.00,67.48,0.00,75.66,0.00,0.00,0,247999
82,,,,15.91,0.00,0.00,0.00,0.00,67.63,0.00,75.58,0.00,0.00,0,249999
83,,,,15.93,0.00,0.00,0.00,0.00,67.67,0.00,75.68,0.00,0.00,0,251999
84,,,,15.87,0.00,0.00,0.00,0.00,67.29,0.00,75.57,0.00,0.00,0,253999
85,,,,15.92,0.00,0.00,0.00,0.00,67.58,0.00,75.66,0.00,0.00,0,255999
86,,,,15.89,0.00,0.00,0.00,0.00,67.34,0.00,75.64,0.00,0.00,0,257999
87,,,,15.93,0.00,0.00,0.00,0.00,67.67,0.00,75.72,0.00,0.00,0,259999
