,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
0,8.57,0.00,0.00,0.00,0.00,42.24,0.00,34.87,0.00,0.00,2,34999.ckpt
1,8.23,0.00,0.00,0.00,0.00,40.34,0.00,33.76,0.00,0.00,2,41999.ckpt
2,9.09,0.00,0.00,0.00,0.00,43.51,0.00,38.34,0.00,0.00,1,24999.ckpt
3,9.34,0.00,0.00,0.00,0.00,44.10,0.00,39.95,0.00,0.00,1,14999.ckpt
4,9.34,0.00,0.00,0.00,0.00,45.71,0.00,38.33,0.00,0.00,0,3999.ckpt
5,9.18,0.00,0.00,0.00,0.00,44.50,0.00,38.14,0.00,0.00,1,17999.ckpt
6,9.26,0.00,0.00,0.00,0.00,45.52,0.00,37.81,0.00,0.00,0,2999.ckpt
7,8.27,0.00,0.00,0.00,0.00,40.06,0.00,34.40,0.00,0.00,3,50999.ckpt
8,8.25,0.00,0.00,0.00,0.00,40.22,0.00,34.02,0.00,0.00,3,49999.ckpt
9,8.99,0.00,0.00,0.00,0.00,42.09,0.00,38.80,0.00,0.00,1,18999.ckpt
10,8.42,0.00,0.00,0.00,0.00,41.74,0.00,34.05,0.00,0.00,4,58999.ckpt
11,9.15,0.00,0.00,0.00,0.00,44.07,0.00,38.24,0.00,0.00,0,8999.ckpt
12,8.89,0.00,0.00,0.00,0.00,42.72,0.00,37.32,0.00,0.00,1,21999.ckpt
13,8.49,0.00,0.00,0.00,0.00,41.54,0.00,34.85,0.00,0.00,3,43999.ckpt
14,8.33,0.00,0.00,0.00,0.00,40.65,0.00,34.36,0.00,0.00,3,46999.ckpt
15,8.48,0.00,0.00,0.00,0.00,41.58,0.00,34.77,0.00,0.00,2,37999.ckpt
16,8.87,0.00,0.00,0.00,0.00,43.81,0.00,36.00,0.00,0.00,2,30999.ckpt
17,8.82,0.00,0.00,0.00,0.00,42.29,0.00,37.11,0.00,0.00,1,25999.ckpt
18,9.10,0.00,0.00,0.00,0.00,42.89,0.00,39.01,0.00,0.00,1,16999.ckpt
19,8.23,0.00,0.00,0.00,0.00,39.67,0.00,34.36,0.00,0.00,3,52999.ckpt
20,8.19,0.00,0.00,0.00,0.00,40.37,0.00,33.36,0.00,0.00,3,48999.ckpt
21,8.83,0.00,0.00,0.00,0.00,42.54,0.00,36.97,0.00,0.00,2,28999.ckpt
22,9.18,0.00,0.00,0.00,0.00,44.38,0.00,38.27,0.00,0.00,1,22999.ckpt
23,8.33,0.00,0.00,0.00,0.00,40.51,0.00,34.46,0.00,0.00,2,39999.ckpt
24,9.28,0.00,0.00,0.00,0.00,44.09,0.00,39.39,0.00,0.00,0,11999.ckpt
25,8.42,0.00,0.00,0.00,0.00,40.51,0.00,35.25,0.00,0.00,3,47999.ckpt
26,8.25,0.00,0.00,0.00,0.00,39.84,0.00,34.43,0.00,0.00,3,53999.ckpt
27,8.34,0.00,0.00,0.00,0.00,40.17,0.00,34.86,0.00,0.00,3,56999.ckpt
28,8.31,0.00,0.00,0.00,0.00,40.17,0.00,34.64,0.00,0.00,3,51999.ckpt
29,8.92,0.00,0.00,0.00,0.00,43.75,0.00,36.51,0.00,0.00,2,31999.ckpt
30,8.42,0.00,0.00,0.00,0.00,40.10,0.00,35.68,0.00,0.00,2,36999.ckpt
31,8.34,0.00,0.00,0.00,0.00,41.41,0.00,33.69,0.00,0.00,3,55999.ckpt
32,8.95,0.00,0.00,0.00,0.00,42.21,0.00,38.37,0.00,0.00,1,19999.ckpt
33,9.23,0.00,0.00,0.00,0.00,43.15,0.00,39.90,0.00,0.00,0,13999.ckpt
34,8.62,0.00,0.00,0.00,0.00,41.12,0.00,36.43,0.00,0.00,1,27999.ckpt
35,8.34,0.00,0.00,0.00,0.00,40.39,0.00,34.68,0.00,0.00,2,38999.ckpt
36,9.03,0.00,0.00,0.00,0.00,42.90,0.00,38.38,0.00,0.00,1,20999.ckpt
37,8.50,0.00,0.00,0.00,0.00,41.26,0.00,35.20,0.00,0.00,2,35999.ckpt
38,9.25,0.00,0.00,0.00,0.00,45.21,0.00,38.00,0.00,0.00,0,9999.ckpt
39,9.63,0.00,0.00,0.00,0.00,47.28,0.00,39.43,0.00,0.00,0,4999.ckpt
40,9.57,0.00,0.00,0.00,0.00,46.89,0.00,39.25,0.00,0.00,0,5999.ckpt
41,9.34,0.00,0.00,0.00,0.00,45.44,0.00,38.64,0.00,0.00,0,6999.ckpt
42,8.65,0.00,0.00,0.00,0.00,40.55,0.00,37.29,0.00,0.00,1,23999.ckpt
43,9.21,0.00,0.00,0.00,0.00,43.94,0.00,38.91,0.00,0.00,0,12999.ckpt
44,8.40,0.00,0.00,0.00,0.00,41.14,0.00,34.45,0.00,0.00,2,42999.ckpt
45,9.40,0.00,0.00,0.00,0.00,45.97,0.00,38.60,0.00,0.00,0,7999.ckpt
46,8.43,0.00,0.00,0.00,0.00,42.72,0.00,33.11,0.00,0.00,0,1999.ckpt
47,7.95,0.00,0.00,0.00,0.00,40.34,0.00,31.21,0.00,0.00,0,999.ckpt
48,8.76,0.00,0.00,0.00,0.00,42.71,0.00,36.13,0.00,0.00,2,32999.ckpt
49,9.21,0.00,0.00,0.00,0.00,43.52,0.00,39.37,0.00,0.00,1,15999.ckpt
50,8.36,0.00,0.00,0.00,0.00,40.80,0.00,34.44,0.00,0.00,3,54999.ckpt
51,8.68,0.00,0.00,0.00,0.00,41.69,0.00,36.39,0.00,0.00,2,29999.ckpt
52,8.64,0.00,0.00,0.00,0.00,41.80,0.00,35.99,0.00,0.00,4,57999.ckpt
53,8.40,0.00,0.00,0.00,0.00,40.51,0.00,35.10,0.00,0.00,3,45999.ckpt
54,8.60,0.00,0.00,0.00,0.00,42.13,0.00,35.26,0.00,0.00,2,33999.ckpt
55,8.42,0.00,0.00,0.00,0.00,41.45,0.00,34.32,0.00,0.00,3,44999.ckpt
56,9.28,0.00,0.00,0.00,0.00,44.25,0.00,39.28,0.00,0.00,0,10999.ckpt
57,8.58,0.00,0.00,0.00,0.00,41.16,0.00,36.06,0.00,0.00,1,26999.ckpt
58,8.40,0.00,0.00,0.00,0.00,40.78,0.00,34.80,0.00,0.00,2,40999.ckpt
