,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
0,0.0,0.0,0.0,0.0,15.48,0.0,0.0,0.0,0.0,66.05,0.0,73.3,0.0,0.0,0,89999,,,,,
1,1.0,1.0,1.0,1.0,15.84,0.0,0.0,0.0,0.0,66.94,0.0,75.58,0.0,0.0,0,143999,,,,,
2,2.0,2.0,2.0,2.0,15.52,0.0,0.0,0.0,0.0,66.6,0.0,73.05,0.0,0.0,0,93599,,,,,
3,3.0,3.0,3.0,3.0,15.38,0.0,0.0,0.0,0.0,66.33,0.0,72.07,0.0,0.0,0,68399,,,,,
4,4.0,4.0,4.0,4.0,15.52,0.0,0.0,0.0,0.0,66.64,0.0,73.04,0.0,0.0,0,100799,,,,,
5,5.0,5.0,5.0,5.0,15.47,0.0,0.0,0.0,0.0,66.51,0.0,72.72,0.0,0.0,0,79199,,,,,
6,6.0,6.0,6.0,6.0,15.3,0.0,0.0,0.0,0.0,66.78,0.0,70.9,0.0,0.0,0,32399,,,,,
7,7.0,7.0,7.0,7.0,15.71,0.0,0.0,0.0,0.0,66.93,0.0,74.44,0.0,0.0,0,111599,,,,,
8,8.0,8.0,8.0,8.0,15.68,0.0,0.0,0.0,0.0,66.1,0.0,74.98,0.0,0.0,0,14399,,,,,
9,9.0,9.0,9.0,9.0,15.35,0.0,0.0,0.0,0.0,66.14,0.0,71.97,0.0,0.0,0,61199,,,,,
10,10.0,10.0,10.0,10.0,15.8,0.0,0.0,0.0,0.0,66.33,0.0,75.87,0.0,0.0,0,151199,,,,,
11,11.0,11.0,11.0,11.0,15.62,0.0,0.0,0.0,0.0,66.19,0.0,74.42,0.0,0.0,0,122399,,,,,
12,12.0,12.0,12.0,12.0,15.32,0.0,0.0,0.0,0.0,66.69,0.0,71.16,0.0,0.0,0,39599,,,,,
13,13.0,13.0,13.0,13.0,15.76,0.0,0.0,0.0,0.0,66.93,0.0,74.94,0.0,0.0,0,21599,,,,,
14,14.0,14.0,14.0,14.0,15.33,0.0,0.0,0.0,0.0,66.88,0.0,71.13,0.0,0.0,0,43199,,,,,
15,15.0,15.0,15.0,15.0,15.55,0.0,0.0,0.0,0.0,66.85,0.0,73.07,0.0,0.0,0,115199,,,,,
16,16.0,16.0,16.0,16.0,15.29,0.0,0.0,0.0,0.0,65.93,0.0,71.7,0.0,0.0,0,64799,,,,,
17,17.0,17.0,17.0,17.0,15.21,0.0,0.0,0.0,0.0,66.69,0.0,70.17,0.0,0.0,0,50399,,,,,
18,18.0,18.0,18.0,18.0,15.8,0.0,0.0,0.0,0.0,67.04,0.0,75.18,0.0,0.0,0,154799,,,,,
19,19.0,19.0,19.0,19.0,15.49,0.0,0.0,0.0,0.0,66.09,0.0,73.32,0.0,0.0,0,107999,,,,,
20,20.0,20.0,20.0,20.0,15.36,0.0,0.0,0.0,0.0,66.74,0.0,71.47,0.0,0.0,0,28799,,,,,
21,21.0,21.0,21.0,21.0,15.71,0.0,0.0,0.0,0.0,66.54,0.0,74.82,0.0,0.0,0,125999,,,,,
22,22.0,22.0,22.0,22.0,15.59,0.0,0.0,0.0,0.0,66.46,0.0,73.83,0.0,0.0,0,104399,,,,,
23,23.0,23.0,23.0,23.0,15.42,0.0,0.0,0.0,0.0,66.59,0.0,72.16,0.0,0.0,0,82799,,,,,
24,24.0,24.0,24.0,24.0,15.64,0.0,0.0,0.0,0.0,66.05,0.0,74.74,0.0,0.0,0,10799,,,,,
25,25.0,25.0,25.0,25.0,15.42,0.0,0.0,0.0,0.0,66.46,0.0,72.35,0.0,0.0,0,75599,,,,,
26,26.0,26.0,26.0,26.0,15.68,0.0,0.0,0.0,0.0,66.14,0.0,74.97,0.0,0.0,0,17999,,,,,
27,27.0,27.0,27.0,27.0,15.63,0.0,0.0,0.0,0.0,66.24,0.0,74.41,0.0,0.0,0,133199,,,,,
28,28.0,28.0,28.0,28.0,15.76,0.0,0.0,0.0,0.0,66.46,0.0,75.42,0.0,0.0,0,136799,,,,,
29,29.0,29.0,29.0,29.0,15.58,0.0,0.0,0.0,0.0,66.31,0.0,73.93,0.0,0.0,0,3599,,,,,
30,30.0,30.0,30.0,30.0,15.85,0.0,0.0,0.0,0.0,66.88,0.0,75.74,0.0,0.0,0,158399,,,,,
31,31.0,31.0,31.0,31.0,15.21,0.0,0.0,0.0,0.0,66.77,0.0,70.1,0.0,0.0,0,35999,,,,,
32,32.0,32.0,32.0,32.0,15.43,0.0,0.0,0.0,0.0,66.34,0.0,72.5,0.0,0.0,0,97199,,,,,
33,33.0,33.0,33.0,33.0,15.31,0.0,0.0,0.0,0.0,66.28,0.0,71.49,0.0,0.0,0,53999,,,,,
34,34.0,34.0,34.0,34.0,15.66,0.0,0.0,0.0,0.0,66.72,0.0,74.21,0.0,0.0,0,118799,,,,,
35,35.0,35.0,35.0,35.0,15.82,0.0,0.0,0.0,0.0,66.73,0.0,75.68,0.0,0.0,0,147599,,,,,
36,36.0,36.0,36.0,36.0,15.5,0.0,0.0,0.0,0.0,66.88,0.0,72.58,0.0,0.0,0,25199,,,,,
37,37.0,37.0,37.0,37.0,15.82,0.0,0.0,0.0,0.0,66.91,0.0,75.45,0.0,0.0,0,161999,,,,,
38,38.0,38.0,38.0,38.0,15.37,0.0,0.0,0.0,0.0,65.96,0.0,72.39,0.0,0.0,0,71999,,,,,
39,39.0,39.0,39.0,39.0,15.32,0.0,0.0,0.0,0.0,66.13,0.0,71.79,0.0,0.0,0,86399,,,,,
40,40.0,40.0,40.0,40.0,15.65,0.0,0.0,0.0,0.0,66.3,0.0,74.59,0.0,0.0,0,129599,,,,,
41,41.0,41.0,41.0,41.0,15.7,0.0,0.0,0.0,0.0,66.31,0.0,75.01,0.0,0.0,0,140399,,,,,
42,42.0,42.0,42.0,42.0,15.25,0.0,0.0,0.0,0.0,66.29,0.0,70.95,0.0,0.0,0,46799,,,,,
43,43.0,43.0,43.0,43.0,15.74,0.0,0.0,0.0,0.0,66.35,0.0,75.32,0.0,0.0,0,165599,,,,,
44,44.0,44.0,44.0,44.0,15.65,0.0,0.0,0.0,0.0,66.42,0.0,74.4,0.0,0.0,0,7199,,,,,
45,45.0,45.0,45.0,45.0,15.35,0.0,0.0,0.0,0.0,66.8,0.0,71.37,0.0,0.0,0,57599,,,,,
46,46.0,46.0,46.0,,15.77,0.0,0.0,0.0,0.0,66.31,0.0,75.61,0.0,0.0,0,205199,,,,,
47,47.0,47.0,47.0,,15.78,0.0,0.0,0.0,0.0,66.44,0.0,75.55,0.0,0.0,0,183599,,,,,
48,48.0,48.0,48.0,,15.8,0.0,0.0,0.0,0.0,66.92,0.0,75.26,0.0,0.0,0,179999,,,,,
49,49.0,49.0,49.0,,15.8,0.0,0.0,0.0,0.0,66.61,0.0,75.63,0.0,0.0,0,172799,,,,,
50,50.0,50.0,50.0,,15.7,0.0,0.0,0.0,0.0,65.92,0.0,75.35,0.0,0.0,0,187199,,,,,
51,51.0,51.0,51.0,,15.75,0.0,0.0,0.0,0.0,66.45,0.0,75.27,0.0,0.0,0,190799,,,,,
52,52.0,52.0,52.0,,15.69,0.0,0.0,0.0,0.0,65.72,0.0,75.46,0.0,0.0,0,194399,,,,,
53,53.0,53.0,53.0,,15.81,0.0,0.0,0.0,0.0,66.89,0.0,75.44,0.0,0.0,0,197999,,,,,
54,54.0,54.0,54.0,,15.71,0.0,0.0,0.0,0.0,65.99,0.0,75.43,0.0,0.0,0,201599,,,,,
